idx,ssim,ssim_ori,tre,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
14,0.8657326698303223,0.7440152764320374,20.67911148071289,84.2601089477539,75.84795379638672,113.3696517944336,75.9330825805664,-0.6820018887519836,0.0840597003698349,1.9548001289367676,225.8557586669922,72.36152648925781,127.92745208740234,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,225.8557586669922,72.36152648925781,127.92745208740234
15,0.8698023557662964,0.7451807260513306,21.778921127319336,87.0505599975586,74.70849609375,114.71337890625,74.79595947265625,-0.6769686937332153,0.08189095556735992,1.9464514255523682,226.639892578125,71.46617126464844,128.59158325195312,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,226.639892578125,71.46617126464844,128.59158325195312
16,0.8679854869842529,0.7449848651885986,17.915260314941406,85.92965698242188,75.45069885253906,114.35346221923828,75.53809356689453,-0.6794784069061279,0.0796121284365654,1.9427317380905151,226.23086547851562,72.00159454345703,125.05128479003906,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,226.23086547851562,72.00159454345703,125.05128479003906
17,0.8667781352996826,0.7397413849830627,21.265684127807617,80.40193176269531,73.63639831542969,109.02655792236328,73.71089172363281,-0.6980162262916565,0.09967496991157532,1.9523134231567383,224.7920684814453,69.35821533203125,125.41752624511719,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,224.7920684814453,69.35821533203125,125.41752624511719
18,0.8662258386611938,0.738841712474823,21.097078323364258,84.62113189697266,70.64923858642578,110.23634338378906,70.72970581054688,-0.6826301217079163,0.08994552493095398,1.9601621627807617,230.0753173828125,68.50103759765625,127.55677032470703,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,230.0753173828125,68.50103759765625,127.55677032470703
19,0.8684031963348389,0.7333619594573975,18.681591033935547,80.80504608154297,78.26536560058594,112.49410247802734,78.34062957763672,-0.6990144848823547,0.08685044199228287,1.9262135028839111,221.07952880859375,72.54270935058594,123.11116027832031,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,221.07952880859375,72.54270935058594,123.11116027832031
20,0.8666695356369019,0.7395740747451782,20.890016555786133,85.51242065429688,84.77063751220703,120.4094467163086,84.86256408691406,-0.6864350438117981,0.0830853134393692,1.9273052215576172,216.83314514160156,77.81880187988281,125.45797729492188,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,216.83314514160156,77.81880187988281,125.45797729492188
21,0.8704365491867065,0.7578506469726562,20.37843894958496,97.52860260009766,77.17695617675781,124.37086486816406,77.29148864746094,-0.6527458429336548,0.06931611895561218,1.9394845962524414,228.1773681640625,74.78270721435547,128.57664489746094,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,228.1773681640625,74.78270721435547,128.57664489746094
22,0.8673409223556519,0.7559313774108887,17.813322067260742,97.664794921875,75.68840789794922,123.56029510498047,75.80200958251953,-0.6507485508918762,0.05741862207651138,1.9360781908035278,230.24234008789062,73.97932434082031,128.06240844726562,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,230.24234008789062,73.97932434082031,128.06240844726562
23,0.8707419037818909,0.751562237739563,20.076507568359375,90.763671875,64.78942108154297,111.5155258178711,64.86787414550781,-0.6702787280082703,0.06817728281021118,1.926934003829956,237.277099609375,64.87428283691406,128.9453582763672,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,237.277099609375,64.87428283691406,128.9453582763672
