idx,status,source_csv,overlay_path,drr_path,alpha,beta,gamma,bx,by,bz,ncc,ssim,fiducial,tre,alpha2,beta2,bx2,by2,bz2,gamma2,geo_d,geo_r,geo_se3,geo_t,parameterization,time
3,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray003_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray003_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray003_drr.png,-1.008821725845337,-0.0177175737917423,1.852844476699829,258.43701171875,60.80742263793945,126.32211303710938,0.6254249811172485,0.5888513922691345,1.7025972604751587,1.9367812871932983,0.0,0.0,0.0,0.0,0.0,0.0,13.079140663146973,12.190120697021484,4.739902019500732,4.739701271057129,se3_log_map,0.0
4,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray004_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray004_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray004_drr.png,-1.0151758193969729,-0.0221116989850997,1.853258490562439,257.6585998535156,59.86410140991211,126.78761291503906,0.619242250919342,0.5843572616577148,1.312861084938049,2.176655530929565,0.0,0.0,0.0,0.0,0.0,0.0,9.463760375976562,8.65275764465332,3.833175182342529,3.833072185516357,se3_log_map,0.0
5,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray005_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray005_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray005_drr.png,-1.0097026824951172,-0.0200422387570142,1.853359937667847,258.2196655273437,60.76481246948242,126.41333770751952,0.6210380792617798,0.5919316411018372,1.692817211151123,1.8918421268463133,0.0,0.0,0.0,0.0,0.0,0.0,12.355548858642578,11.506362915039062,4.501584529876709,4.501453876495361,se3_log_map,0.0
6,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray006_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray006_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray006_drr.png,-1.0084538459777832,-0.0187073238193988,1.8501569032669067,258.897705078125,62.28814315795898,126.94538879394533,0.6243390440940857,0.5979995727539062,1.39400053024292,1.2830406427383425,0.0,0.0,0.0,0.0,0.0,0.0,13.268468856811523,12.10589599609375,5.431520462036133,5.431338787078857,se3_log_map,0.0
7,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray007_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray007_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray007_drr.png,-1.010711669921875,-0.0117066195234656,1.8508925437927248,259.3172302246094,60.22881317138672,125.4417724609375,0.6085792183876038,0.5763028264045715,1.5217198133468628,2.5101799964904785,0.0,0.0,0.0,0.0,0.0,0.0,13.804004669189451,12.512383460998535,5.83033561706543,5.830153465270996,se3_log_map,0.0
8,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray008_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray008_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray008_drr.png,-1.0115046501159668,-0.0067788581363856,1.8513246774673464,259.01141357421875,59.839820861816406,123.99308776855467,0.6039438247680664,0.5766531229019165,1.4580732583999634,2.54563570022583,0.0,0.0,0.0,0.0,0.0,0.0,15.081520080566406,13.703754425048828,6.297815322875977,6.297558307647705,se3_log_map,0.0
9,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray009_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray009_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray009_drr.png,-1.011960744857788,-0.0139568215236067,1.8497314453125,257.6853332519531,61.1451530456543,125.40066528320312,0.6073179841041565,0.5696829557418823,1.5057507753372192,1.3727962970733645,0.0,0.0,0.0,0.0,0.0,0.0,12.23737621307373,11.378134727478027,4.504758834838867,4.50459098815918,se3_log_map,0.0
10,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray010_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray010_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray010_drr.png,-1.0240793228149414,-0.0204611718654632,1.8506505489349363,255.7210693359375,60.62609100341797,126.77001953125,0.5973508954048157,0.5635522603988647,0.3947352468967438,0.473493218421936,0.0,0.0,0.0,0.0,0.0,0.0,4.978079795837402,4.531497955322266,2.060783624649048,2.0607542991638184,se3_log_map,0.0
11,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray011_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray011_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray011_drr.png,-1.0030981302261353,-0.0214442946016788,1.847908854484558,257.5062561035156,65.37091827392578,126.60377502441406,0.5778441429138184,0.569695770740509,1.6944290399551392,3.268927335739136,0.0,0.0,0.0,0.0,0.0,0.0,15.823495864868164,14.47411823272705,6.394247055053711,6.393967628479004,se3_log_map,0.0
12,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray012_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray012_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray012_drr.png,-1.0302761793136597,-0.0220514796674251,1.8505412340164185,254.21990966796875,60.26790237426758,126.98567199707033,0.5699472427368164,0.5773416757583618,0.1559041142463684,0.1575156152248382,0.0,0.0,0.0,0.0,0.0,0.0,1.924857497215271,1.750718116760254,0.7999909520149231,0.7999764680862427,se3_log_map,0.0
