alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.1081551313400269,0.003341949312016368,1.5709242820739746,205.34446716308594,173.75518798828125,131.45867919921875,0.5715433359146118,136.73834228515625,82.51122283935547,159.704345703125,82.65895080566406,0.16426545500871725,50,se3_log_map,0.6700867414474487,1.395142912864685,-0.8599963188171387,-0.8645433187484741,127.23651123046875,299.62542724609375,-119.79499053955078
-1.10773503780365,0.009092574939131737,1.5638623237609863,207.3321533203125,173.5558624267578,130.0690155029297,0.57722008228302,138.5523681640625,81.84868621826172,160.92222595214844,81.99708557128906,0.16417971000191756,50,se3_log_map,0.667507529258728,1.3922282457351685,-0.852222204208374,-0.8708634972572327,127.75374603271484,299.72271728515625,-120.61724090576172
-1.1079590320587158,0.014309832826256752,1.5586886405944824,208.7281951904297,173.2921600341797,129.50689697265625,0.566552996635437,139.72682189941406,81.38239288330078,161.6993408203125,81.53022003173828,0.1655632599722594,50,se3_log_map,0.6726399660110474,1.3904564380645752,-0.8462668657302856,-0.8766272664070129,128.1269073486328,300.1453552246094,-120.79817962646484
-1.1050708293914795,0.016313709318637848,1.553775668144226,207.96835327148438,173.5930633544922,127.8377685546875,0.5603975653648376,141.6561737060547,81.4178695678711,163.3870849609375,81.56324768066406,0.1643144179834053,50,se3_log_map,0.6733496189117432,1.3881640434265137,-0.8401249051094055,-0.8774688839912415,126.66234588623047,299.0217590332031,-120.87968444824219
-1.1029484272003174,0.017526868730783463,1.5513256788253784,206.26431274414062,173.99923706054688,127.42379760742188,0.5499217510223389,142.6250457763672,81.8826675415039,164.458740234375,82.02307891845703,0.16659245500341058,50,se3_log_map,0.6769781112670898,1.3873405456542969,-0.8364075422286987,-0.8775172233581543,124.80915069580078,298.5102233886719,-120.033447265625
-1.105165958404541,0.02126949466764927,1.5522671937942505,206.1576385498047,173.51617431640625,129.91885375976562,0.5771347880363464,141.34251403808594,81.87954711914062,163.34616088867188,82.01444244384766,0.16339778300607577,50,se3_log_map,0.6727607250213623,1.3894647359848022,-0.8361937999725342,-0.8817455172538757,125.11686706542969,300.36669921875,-118.08346557617188
-1.107908010482788,0.02445196360349655,1.5535138845443726,206.55230712890625,172.9288330078125,132.3024444580078,0.5498363971710205,140.02520751953125,81.78350830078125,162.1591796875,81.91545867919922,0.16438058597850613,50,se3_log_map,0.676422119140625,1.3913956880569458,-0.8369115591049194,-0.8858597874641418,125.91207885742188,302.2101745605469,-116.49483489990234
-1.1072779893875122,0.025291483849287033,1.5527215003967285,205.85585021972656,172.82215881347656,132.460205078125,0.5491784811019897,140.25526428222656,81.78020477294922,162.35621643066406,81.90923309326172,0.23753282500547357,50,se3_log_map,0.6768562197685242,1.3913495540618896,-0.8354591727256775,-0.8862540125846863,125.34308624267578,302.0695495605469,-115.7782211303711
-1.1058385372161865,0.025007320567965508,1.5517945289611816,204.96661376953125,172.7686767578125,131.99330139160156,0.5523972511291504,140.8020782470703,81.71202087402344,162.79458618164062,81.83866882324219,0.16502977002528496,50,se3_log_map,0.6785426735877991,1.3908367156982422,-0.8340409398078918,-0.8852217197418213,124.59239196777344,301.30560302734375,-115.39382934570312
-1.1035714149475098,0.02351381443440914,1.547917127609253,205.2820281982422,172.94046020507812,129.634033203125,0.5708043575286865,142.98284912109375,81.34713745117188,164.503662109375,81.47734832763672,0.16461156599689275,50,se3_log_map,0.6764343976974487,1.3873682022094727,-0.8311707377433777,-0.8835504651069641,124.33096313476562,299.64208984375,-116.66720581054688
-1.1023147106170654,0.021935850381851196,1.5436668395996094,206.5743865966797,172.99432373046875,127.32660675048828,0.5538390874862671,145.30474853515625,80.85218811035156,166.28453063964844,80.98986053466797,0.16599336598301306,50,se3_log_map,0.6801536083221436,1.3832168579101562,-0.8289301991462708,-0.8827040791511536,124.915771484375,298.3250427246094,-118.32986450195312
-1.1029447317123413,0.021943630650639534,1.5400972366333008,208.69659423828125,172.7716827392578,126.21334075927734,0.5438836812973022,146.91729736328125,80.29141235351562,167.42581176757812,80.43731689453125,0.1657290210132487,50,se3_log_map,0.6797504425048828,1.3799214363098145,-0.8274629712104797,-0.8842882513999939,126.39640045166016,298.185302734375,-119.5696029663086
-1.1044117212295532,0.023668650537729263,1.537530541419983,210.8912353515625,172.31040954589844,126.12845611572266,0.5391912460327148,147.71083068847656,79.71614074707031,167.84860229492188,79.86787414550781,0.16577539598802105,50,se3_log_map,0.676239013671875,1.3781582117080688,-0.8260548710823059,-0.8874920606613159,128.12525939941406,298.81304931640625,-120.14163970947266
-1.106041669845581,0.02515166625380516,1.5369547605514526,212.14547729492188,171.89849853515625,127.07075500488281,0.5264469385147095,147.6291046142578,79.42981719970703,167.6408233642578,79.5838623046875,0.1657985959900543,50,se3_log_map,0.6774085164070129,1.3779504299163818,-0.8260068297386169,-0.8900315761566162,129.38565063476562,299.85968017578125,-119.8145980834961
-1.1054226160049438,0.02432321012020111,1.5367614030838013,211.4415740966797,172.0336456298828,127.32061004638672,0.535007894039154,147.89898681640625,79.62252807617188,167.9698028564453,79.77568054199219,0.16682358700199984,50,se3_log_map,0.6779918670654297,1.377529501914978,-0.8259727358818054,-0.8889951109886169,128.9280242919922,299.8184814453125,-119.26297760009766
