alpha,beta,gamma,bx,by,bz,losses,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-0.9912081956863403,0.24819296598434448,1.8362663984298706,199.25498962402344,149.95765686035156,90.72225952148438,1.0265533336600914,0,0.7668590545654297,4,se3_log_map,0.7687854766845703,1.7765361070632935,-0.7522389888763428,-0.9089008569717407,199.25498962402344,149.95765686035156,90.72225952148438
-1.008747935295105,0.23494906723499298,1.8227951526641846,196.609619140625,152.14283752441406,92.47929382324219,1.0304602909046987,0,0.09659147262573242,4,se3_log_map,0.7699576616287231,1.7550556659698486,-0.7693778872489929,-0.9120179414749146,196.609619140625,152.14283752441406,92.47929382324219
-0.9996011853218079,0.22836631536483765,1.8171257972717285,196.86697387695312,152.85183715820312,93.47657012939453,1.0283475490039113,0,0.7603144645690918,4,se3_log_map,0.7730511426925659,1.7494778633117676,-0.7616702914237976,-0.9014508724212646,196.86697387695312,152.85183715820312,93.47657012939453
-1.0046188831329346,0.23388037085533142,1.8243731260299683,196.1778106689453,153.5303497314453,92.91365051269531,1.031009720715617,0,0.08937478065490723,4,se3_log_map,0.7710853815078735,1.7569632530212402,-0.767072319984436,-0.9079381823539734,196.1778106689453,153.5303497314453,92.91365051269531
-1.0021300315856934,0.2373136579990387,1.8273394107818604,197.1302947998047,152.3636932373047,92.30113983154297,1.0311819708707657,0,0.8346598148345947,4,se3_log_map,0.7704274654388428,1.7616087198257446,-0.7642804980278015,-0.908603310585022,197.1302947998047,152.3636932373047,92.30113983154297
-1.0003321170806885,0.2332543283700943,1.8250831365585327,196.71417236328125,152.989990234375,92.81945037841797,1.030997683094884,0,0.09129190444946289,4,se3_log_map,0.7723148465156555,1.7583400011062622,-0.7638370990753174,-0.9043520092964172,196.71417236328125,152.989990234375,92.81945037841797
-1.0030384063720703,0.237009659409523,1.825122594833374,196.6463165283203,152.57400512695312,92.42156982421875,1.031454954848245,0,0.839998722076416,4,se3_log_map,0.7710546255111694,1.759329080581665,-0.7640509009361267,-0.9094672203063965,196.6463165283203,152.57400512695312,92.42156982421875
-1.001745581626892,0.23634792864322662,1.8276863098144531,196.62997436523438,152.7782440185547,92.42892456054688,1.0313810903559713,0,0.07791686058044434,4,se3_log_map,0.7718985676765442,1.761591911315918,-0.7647234201431274,-0.9074103236198425,196.62997436523438,152.7782440185547,92.42892456054688
-1.0023034811019897,0.23635409772396088,1.8249843120574951,197.10105895996094,152.1922607421875,92.41421508789062,1.031593669092933,0,0.7264857292175293,4,se3_log_map,0.7705469131469727,1.7591036558151245,-0.7636906504631042,-0.9084303975105286,197.10105895996094,152.1922607421875,92.41421508789062
-1.0015833377838135,0.23619775474071503,1.825401782989502,196.77203369140625,152.67799377441406,92.49706268310547,1.0315405910918596,0,0.09133529663085938,4,se3_log_map,0.771302342414856,1.7595727443695068,-0.763350248336792,-0.9077121615409851,196.77203369140625,152.67799377441406,92.49706268310547
-1.0016509294509888,0.2364504188299179,1.825053334236145,196.98556518554688,152.3981170654297,92.44779205322266,1.031582252666222,0,0.7977344989776611,4,se3_log_map,0.770832896232605,1.7593598365783691,-0.7630548477172852,-0.9080632328987122,196.98556518554688,152.3981170654297,92.44779205322266
-1.0020034313201904,0.23618066310882568,1.8254330158233643,196.7820281982422,152.6432647705078,92.49832916259766,1.0315848242988603,0,0.09327507019042969,4,se3_log_map,0.7711981534957886,1.7594927549362183,-0.7637749910354614,-0.9079701900482178,196.7820281982422,152.6432647705078,92.49832916259766
-1.002636194229126,0.23631411790847778,1.8243392705917358,197.08792114257812,152.07492065429688,92.40398406982422,1.0315955503495389,0,0.8267083168029785,4,se3_log_map,0.7706254720687866,1.7584446668624878,-0.7636576890945435,-0.9087703824043274,197.08792114257812,152.07492065429688,92.40398406982422
-1.002333402633667,0.23627255856990814,1.824316143989563,197.06143188476562,152.18455505371094,92.44671630859375,1.0316323803781329,0,0.09263205528259277,4,se3_log_map,0.7706232070922852,1.7584788799285889,-0.763385534286499,-0.9085370302200317,197.06143188476562,152.18455505371094,92.44671630859375
