alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim
-0.7266594171524048,0.17853191494941711,1.973604440689087,208.1062774658203,80.00990295410156,96.34306335449219,0.871880054473877,1062.27783203125,242.88226318359375,1089.6907958984375,279.7175598144531,0.20060242107138038,39,se3_log_map,0.8449878096580505
-0.7263209223747253,0.17823345959186554,1.973658561706543,207.73077392578125,80.09770202636719,96.2981185913086,0.8719204068183899,1062.19287109375,242.5717315673828,1089.538818359375,279.3848876953125,0.20058927591890097,39,se3_log_map,0.8452554941177368
-0.7257331609725952,0.17771585285663605,1.9731768369674683,207.51992797851562,80.33021545410156,96.06996154785156,0.8720173239707947,1061.783935546875,242.37759399414062,1089.096923828125,279.13299560546875,0.199491819832474,39,se3_log_map,0.8453747630119324
-0.7253468036651611,0.1773230880498886,1.9727838039398193,207.51995849609375,80.56851196289062,95.97605895996094,0.8720195293426514,1061.47021484375,242.41952514648438,1088.8004150390625,279.1617736816406,0.19963466608896852,39,se3_log_map,0.8450202941894531
-0.7250626087188721,0.17711728811264038,1.9725466966629028,207.61358642578125,80.77583312988281,95.98004913330078,0.8720097541809082,1061.279296875,242.57020568847656,1088.6478271484375,279.3274841308594,0.2464665831066668,39,se3_log_map,0.8447014093399048
-0.7251368761062622,0.17704981565475464,1.9728264808654785,207.71336364746094,80.90261840820312,96.29254913330078,0.8720287084579468,1061.404541015625,242.82159423828125,1088.825927734375,279.6695556640625,0.20163035485893488,39,se3_log_map,0.8444532155990601
-0.7252516150474548,0.17711305618286133,1.9732606410980225,207.6791534423828,80.96144104003906,96.57825469970703,0.8719818592071533,1061.631591796875,242.92538452148438,1089.0704345703125,279.85321044921875,0.20053366385400295,39,se3_log_map,0.8445102572441101
-0.7249721884727478,0.17703703045845032,1.9734472036361694,207.437744140625,81.02540588378906,96.62609100341797,0.8719937801361084,1061.659423828125,242.75941467285156,1089.060546875,279.6932067871094,0.19836966414004564,39,se3_log_map,0.844679594039917
-0.7245097756385803,0.17687073349952698,1.9732680320739746,207.16387939453125,81.13063049316406,96.48054504394531,0.8720502853393555,1061.4757080078125,242.50267028808594,1088.82421875,279.39263916015625,0.19955869996920228,39,se3_log_map,0.8448904752731323
-0.7238636016845703,0.17665724456310272,1.972726583480835,206.91709899902344,81.2724609375,96.11811828613281,0.871973991394043,1061.09033203125,242.1953582763672,1088.380126953125,278.9897155761719,0.25289192190393806,39,se3_log_map,0.8449354767799377
-0.7236362099647522,0.17648592591285706,1.9724808931350708,206.81268310546875,81.37903594970703,95.98197174072266,0.8718773126602173,1060.910888671875,242.0879364013672,1088.1812744140625,278.85211181640625,0.20081359101459384,39,se3_log_map,0.844899594783783
-0.7242971658706665,0.17668995261192322,1.972880244255066,206.96990966796875,81.37423706054688,96.3697280883789,0.8720446825027466,1061.232177734375,242.37457275390625,1088.5582275390625,279.2542724609375,0.20050053391605616,39,se3_log_map,0.8447776436805725
-0.7249233722686768,0.17683304846286774,1.973266839981079,207.12733459472656,81.37025451660156,96.73224639892578,0.8719971776008606,1061.5303955078125,242.6519775390625,1088.9107666015625,279.63995361328125,0.19938146229833364,39,se3_log_map,0.844611406326294
-0.7253380417823792,0.17687685787677765,1.9732633829116821,207.26722717285156,81.39372253417969,96.82933807373047,0.8719238042831421,1061.599853515625,242.81796264648438,1089.0155029296875,279.84765625,0.20066775009036064,39,se3_log_map,0.8443611264228821
-0.7252917885780334,0.17661845684051514,1.9729602336883545,207.1327362060547,81.44510650634766,96.59343719482422,0.8720265626907349,1061.404541015625,242.6263885498047,1088.782470703125,279.6008605957031,0.2750997757539153,39,se3_log_map,0.8444572687149048
-0.7245893478393555,0.17606985569000244,1.9719935655593872,206.8031768798828,81.55583953857422,95.83491516113281,0.8716573715209961,1060.752197265625,242.08106994628906,1088.0250244140625,278.85821533203125,0.20174235897138715,39,se3_log_map,0.8442847728729248
-0.7245783805847168,0.17585612833499908,1.9718480110168457,206.60501098632812,81.52793884277344,95.68556213378906,0.8714359998703003,1060.6427001953125,241.84326171875,1087.8653564453125,278.57373046875,0.2005765032954514,39,se3_log_map,0.8442844152450562
-0.7256141304969788,0.17600136995315552,1.9730498790740967,206.57398986816406,81.27921295166016,96.42366790771484,0.8720179796218872,1061.373779296875,242.02613830566406,1088.6187744140625,278.9285888671875,0.19959387695416808,39,se3_log_map,0.8450734615325928
