alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,r1,r2,r3,t1,t2,t3
-0.810667872428894,0.127221018075943,2.0059194564819336,202.35958862304688,52.91489028930664,114.13190460205078,0.6338919401168823,50.71100616455078,70.60990905761719,86.93310546875,70.63070678710938,35.30642318725586,0.16482290404383093,57,se3_log_map,0.9004407525062561,1.925965666770935,-0.7353427410125732,-0.6387322545051575,190.51380920410156,186.59474182128906,-75.48603820800781
-0.810709536075592,0.1252269297838211,2.0054843425750732,202.36160278320312,53.373260498046875,114.55176544189453,0.6354186534881592,49.7994270324707,70.85014343261719,86.60095977783203,70.8702621459961,34.85697555541992,0.16395314899273217,57,se3_log_map,0.9022138118743896,1.9248509407043457,-0.7363272309303284,-0.6369127035140991,190.58120727539062,187.0657196044922,-75.61077880859375
-0.8106219172477722,0.12344808876514435,2.0046098232269287,202.4403839111328,53.95828628540039,114.94778442382812,0.6352787017822266,48.90462875366211,71.1326675415039,86.32218170166016,71.15235900878906,34.236968994140625,0.16408036998473108,57,se3_log_map,0.9017768502235413,1.9234424829483032,-0.7368627190589905,-0.6353390216827393,190.634765625,187.63877868652344,-75.83479309082031
-0.809931755065918,0.12130948156118393,2.003480911254883,202.16018676757812,54.584957122802734,114.98797607421875,0.636504054069519,47.92094039916992,71.75777435302734,86.28785705566406,71.77693939208984,34.21226119995117,0.1614566670032218,57,se3_log_map,0.9013663530349731,1.9218281507492065,-0.7368863821029663,-0.6331083178520203,190.290283203125,187.75743103027344,-76.0455093383789
-0.8087977766990662,0.11892321705818176,2.0023069381713867,201.60743713378906,55.21638107299805,114.83009338378906,0.6377007961273193,46.92658233642578,72.60948944091797,86.45369720458984,72.62811279296875,34.66792297363281,0.16498779691755772,57,se3_log_map,0.8986513614654541,1.920198917388916,-0.7365888953208923,-0.6303744316101074,189.674072265625,187.58929443359375,-76.19740295410156
-0.8082003593444824,0.11678865551948547,2.001774311065674,201.1944580078125,55.69813537597656,115.21165466308594,0.6380859017372131,46.08620834350586,73.1736068725586,86.47725677490234,73.191650390625,34.9172248840332,0.16263849299866706,57,se3_log_map,0.8966278433799744,1.9191060066223145,-0.7369720339775085,-0.6280531287193298,189.3697509765625,187.92861938476562,-76.08270263671875
-0.807715654373169,0.11447736620903015,2.00124454498291,200.93272399902344,56.317935943603516,115.4513931274414,0.6382482051849365,45.16843795776367,73.75304412841797,86.4852523803711,73.77046966552734,34.79330062866211,0.15843229508027434,57,se3_log_map,0.8944599628448486,1.9179233312606812,-0.7375705242156982,-0.6256282925605774,189.1202392578125,188.2233428955078,-76.26786804199219
-0.8072823882102966,0.11238230019807816,2.00105619430542,200.6583251953125,56.94089126586914,115.5882797241211,0.6377477645874023,44.41128921508789,74.36096954345703,86.61360168457031,74.37784576416016,34.66059494018555,0.1626413760241121,57,se3_log_map,0.8940116167068481,1.9171160459518433,-0.7382479310035706,-0.623358964920044,188.81784057617188,188.43743896484375,-76.55887603759766
-0.807422935962677,0.11070380359888077,2.002027750015259,200.25314331054688,57.1884651184082,116.4177017211914,0.638861358165741,43.9619255065918,74.69970703125,86.67581939697266,74.71599578857422,34.93288803100586,0.16327124496456236,57,se3_log_map,0.8920366764068604,1.9173681735992432,-0.7397710680961609,-0.6215484738349915,188.71307373046875,189.1280059814453,-76.21669006347656
-0.8071015477180481,0.10900766402482986,2.002746343612671,199.53065490722656,57.44789123535156,116.92432403564453,0.6389639377593994,43.563236236572266,75.32048797607422,87.01110076904297,75.33624267578125,35.7896842956543,0.16386630991473794,57,se3_log_map,0.8912853598594666,1.9175033569335938,-0.7407291531562805,-0.6195002794265747,188.23663330078125,189.43687438964844,-75.8510971069336
