ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
57,32.66,44.27,失败,失败,-0.9133,0.2587,1.8663,233.39,11.39,119.93,gnccdicezyl_xray057_se3_log_map.csv
13,31.98,41.94,失败,失败,-0.9346,0.2453,1.8586,227.19,14.71,122.26,gnccdicezyl_xray013_se3_log_map.csv
80,33.80,41.14,失败,失败,-0.9182,0.2509,1.8450,226.50,22.35,122.27,gnccdicezyl_xray080_se3_log_map.csv
54,31.15,42.14,失败,失败,-0.9183,0.2647,1.8686,232.92,10.06,116.68,gnccdicezyl_xray054_se3_log_map.csv
62,33.52,39.87,失败,失败,-0.8934,0.2529,1.8857,242.29,-0.64,114.77,gnccdicezyl_xray062_se3_log_map.csv
11,32.48,43.79,失败,失败,-0.9191,0.2589,1.8617,231.85,12.35,119.89,gnccdicezyl_xray011_se3_log_map.csv
29,33.15,44.16,失败,失败,-0.9221,0.2346,1.8575,230.02,14.42,126.19,gnccdicezyl_xray029_se3_log_map.csv
55,31.92,43.31,失败,失败,-0.9203,0.2476,1.8684,233.77,9.74,121.17,gnccdicezyl_xray055_se3_log_map.csv
49,5.12,6.40,成功,成功,-0.7706,0.1656,1.9199,253.02,23.65,108.40,gnccdicezyl_xray049_se3_log_map.csv
60,32.28,43.82,失败,失败,-0.9181,0.2524,1.8698,234.41,10.22,120.36,gnccdicezyl_xray060_se3_log_map.csv
45,32.70,43.98,失败,失败,-0.9248,0.2535,1.8644,230.90,12.50,121.15,gnccdicezyl_xray045_se3_log_map.csv
84,33.67,40.91,失败,失败,-0.9163,0.2545,1.8484,226.74,22.63,121.26,gnccdicezyl_xray084_se3_log_map.csv
40,33.90,46.33,失败,失败,-0.9061,0.2085,1.8612,236.08,11.79,132.74,gnccdicezyl_xray040_se3_log_map.csv
69,30.39,40.24,失败,失败,-0.9232,0.2392,1.8567,229.75,14.56,122.32,gnccdicezyl_xray069_se3_log_map.csv
58,34.02,45.14,失败,失败,-0.9155,0.2518,1.8594,229.63,15.05,123.39,gnccdicezyl_xray058_se3_log_map.csv
72,31.40,39.43,失败,失败,-0.9156,0.2495,1.8514,228.12,19.92,120.67,gnccdicezyl_xray072_se3_log_map.csv
15,31.17,40.74,失败,失败,-0.9551,0.2942,1.8609,223.19,12.25,110.23,gnccdicezyl_xray015_se3_log_map.csv
46,35.35,48.36,失败,失败,-0.9056,0.2148,1.8682,237.48,8.74,132.19,gnccdicezyl_xray046_se3_log_map.csv
59,31.12,42.18,失败,失败,-0.9241,0.2443,1.8768,232.86,9.10,120.77,gnccdicezyl_xray059_se3_log_map.csv
74,32.64,41.50,失败,失败,-0.9140,0.2581,1.8496,228.40,19.40,120.37,gnccdicezyl_xray074_se3_log_map.csv
