alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,ssim_ori,r1,r2,r3,t1,t2,t3
-1.1853171586990356,-0.12069247663021088,1.5496940612792969,96.11149597167969,91.97160339355469,177.76766967773438,0.43658316135406494,104.15127563476562,78.55462646484375,130.4542694091797,78.62384796142578,51.080387115478516,0.11114485198049806,51,se3_log_map,0.8390970826148987,0.7975443601608276,1.2790621519088745,-0.9810325503349304,-0.8372179865837097,103.68972778320312,229.15609741210938,28.595748901367188
-1.18479323387146,-0.12288998812437057,1.5523309707641602,95.5074691772461,92.73148345947266,178.1521453857422,0.4364335536956787,104.12571716308594,79.5977783203125,131.06475830078125,79.66951751708984,51.988990783691406,0.11099405400454998,51,se3_log_map,0.8397558331489563,0.7982195615768433,1.2802199125289917,-0.9833348989486694,-0.8341073989868164,103.29161071777344,229.76695251464844,28.547489166259766
-1.184335708618164,-0.12526051700115204,1.5549415349960327,95.3568344116211,93.59257507324219,178.9698486328125,0.4380077123641968,104.21037292480469,80.58824920654297,131.735595703125,80.66386413574219,52.60006332397461,0.11099191298126243,51,se3_log_map,0.8354835510253906,0.7922202944755554,1.2812269926071167,-0.9857646226882935,-0.8309208750724792,103.41983795166016,230.8949737548828,28.51352882385254
-1.1837975978851318,-0.12774980068206787,1.5576115846633911,95.52278137207031,94.5611343383789,180.32501220703125,0.44090867042541504,104.34771728515625,81.66435241699219,132.5047607421875,81.7451400756836,53.31748962402344,0.11050101000000723,51,se3_log_map,0.8232434988021851,0.7764536142349243,1.2822476625442505,-0.9882304072380066,-0.8275524973869324,103.99817657470703,232.58045959472656,28.63995933532715
-1.1830615997314453,-0.13100528717041016,1.5605806112289429,95.43624114990234,95.66503143310547,181.75494384765625,0.44934695959091187,104.72402954101562,83.03300476074219,133.64730834960938,83.11979675292969,54.52806091308594,0.11396082802093588,51,se3_log_map,0.8245095014572144,0.7776663899421692,1.2831498384475708,-0.9911465644836426,-0.8233219981193542,104.4293212890625,234.3028106689453,28.873186111450195
-1.1826313734054565,-0.13472062349319458,1.564083218574524,94.98460388183594,96.80662536621094,183.2412109375,0.45569953322410583,105.20960998535156,84.6771011352539,135.0528564453125,84.77057647705078,56.3460693359375,0.11278126100660302,51,se3_log_map,0.827934741973877,0.78183913230896,1.2841126918792725,-0.9948137998580933,-0.8187503814697266,104.63475036621094,235.97671508789062,29.279233932495117
-1.1824208498001099,-0.13837099075317383,1.5675443410873413,94.48050689697266,97.91828918457031,184.16558837890625,0.4530198276042938,105.75567626953125,86.12415313720703,136.38780212402344,86.2237548828125,57.650943756103516,0.11298192400136031,51,se3_log_map,0.8298059701919556,0.7837320566177368,1.2849886417388916,-0.9985643029212952,-0.8143996596336365,104.58128356933594,237.21920776367188,29.3011531829834
-1.1825387477874756,-0.14103253185749054,1.569635272026062,94.3018569946289,98.69518280029297,183.15435791015625,0.45918530225753784,106.32485961914062,86.41019439697266,137.0098419189453,86.5124282836914,56.37371063232422,0.11337010498391464,51,se3_log_map,0.8318846821784973,0.7855644226074219,1.285146713256836,-1.0012595653533936,-0.8116034269332886,104.01432037353516,236.94082641601562,27.982738494873047
-1.1828391551971436,-0.1431194692850113,1.571764588356018,94.00935363769531,99.36503601074219,181.80667114257812,0.4620164632797241,106.67738342285156,86.58113861083984,137.39125061035156,86.68492126464844,54.94908142089844,0.11406297000939958,51,se3_log_map,0.8309057950973511,0.7837345600128174,1.2856026887893677,-1.0037710666656494,-0.8093651533126831,103.19999694824219,236.3487548828125,26.518531799316406
-1.1833691596984863,-0.1452556997537613,1.5741411447525024,93.75146484375,100.0831298828125,180.5662841796875,0.4587653577327728,107.0267562866211,86.8310317993164,137.82000732421875,86.93695068359375,53.615806579589844,0.11511055298615247,51,se3_log_map,0.8296046257019043,0.7815775275230408,1.28614342212677,-1.0065979957580566,-0.8071570992469788,102.44584655761719,235.88900756835938,25.057891845703125
