ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
44,81.05,49.64,失败,失败,-0.9329,-0.1976,1.9284,160.65,54.40,163.41,gncczyl_xray044_se3_log_map.csv
50,7.04,6.68,成功,成功,-0.7128,0.1387,1.8942,263.88,32.34,114.44,gncczyl_xray050_se3_log_map.csv
21,88.26,51.30,失败,失败,-0.9210,-0.1863,1.9282,157.10,60.14,161.44,gncczyl_xray021_se3_log_map.csv
15,83.85,49.21,失败,失败,-0.9233,-0.1716,1.9275,159.72,56.75,161.49,gncczyl_xray015_se3_log_map.csv
29,85.10,49.74,失败,失败,-0.9304,-0.1802,1.9232,158.40,57.66,160.81,gncczyl_xray029_se3_log_map.csv
52,47.38,14.53,失败,失败,-0.8891,0.1487,2.0191,203.29,46.63,113.25,gncczyl_xray052_se3_log_map.csv
56,55.37,18.40,失败,失败,-0.8909,-0.0039,1.9765,257.67,-38.80,146.21,gncczyl_xray056_se3_log_map.csv
42,27.46,14.50,失败,失败,-0.8769,0.0523,1.9984,218.21,29.56,131.38,gncczyl_xray042_se3_log_map.csv
43,34.02,14.20,失败,失败,-0.8788,0.1127,2.0173,213.13,35.11,121.13,gncczyl_xray043_se3_log_map.csv
17,85.35,49.81,失败,失败,-0.9238,-0.1827,1.9275,158.56,58.09,162.62,gncczyl_xray017_se3_log_map.csv
82,11.66,8.94,失败,成功,-0.6644,0.1445,1.8962,267.05,44.68,112.70,gncczyl_xray082_se3_log_map.csv
64,58.47,11.82,失败,失败,-0.9031,-0.0131,1.9310,256.30,-42.23,148.43,gncczyl_xray064_se3_log_map.csv
37,28.40,14.84,失败,失败,-0.8921,0.0416,1.9951,215.63,29.29,133.02,gncczyl_xray037_se3_log_map.csv
79,40.41,12.06,失败,失败,-0.7363,0.1533,2.0062,229.09,54.13,113.25,gncczyl_xray079_se3_log_map.csv
47,53.58,18.18,失败,失败,-0.8922,-0.0119,1.9747,256.65,-37.09,149.60,gncczyl_xray047_se3_log_map.csv
83,32.42,19.12,失败,失败,-0.9255,0.0605,2.0400,235.94,-22.82,131.45,gncczyl_xray083_se3_log_map.csv
