alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-0.889275848865509,-0.029179686680436134,1.9380669593811035,244.31446838378906,-37.80803680419922,160.60296630859375,0.4774017632007599,74.54247283935547,54.492393493652344,92.33634948730469,54.542259216308594,0.13403603294864297,3,se3_log_map,0.6159763932228088,1.7784347534179688,-0.8693208694458008,-0.5586175322532654,292.15142822265625,158.1125030517578,8.006678581237793
-0.8889690637588501,-0.027867376804351807,1.9389712810516357,244.423583984375,-38.19666290283203,160.95974731445312,0.483093798160553,74.65648651123047,54.82086944580078,92.62245178222656,54.8709831237793,0.13457998604280874,3,se3_log_map,0.6158759593963623,1.7799334526062012,-0.8687013387680054,-0.5593400597572327,292.47247314453125,158.42160034179688,8.496646881103516
-0.8891813158988953,-0.026306619867682457,1.9401483535766602,244.76528930664062,-38.481239318847656,161.36863708496094,0.4901123046875,74.51526641845703,55.32197952270508,92.80650329589844,55.3720588684082,0.13436262600589544,3,se3_log_map,0.616504967212677,1.7816076278686523,-0.8685466647148132,-0.5605393052101135,292.983642578125,158.94894409179688,8.709948539733887
-0.8895281553268433,-0.0246770940721035,1.9412928819656372,245.12806701660156,-38.766700744628906,161.8507080078125,0.4938886761665344,74.31674194335938,55.85841369628906,92.96849060058594,55.908409118652344,0.13577875698683783,3,se3_log_map,0.6175069212913513,1.7832359075546265,-0.868468165397644,-0.5619025826454163,293.5379943847656,159.56561279296875,8.943370819091797
-0.8894835710525513,-0.022932035848498344,1.9423801898956299,245.3812713623047,-39.08753967285156,162.20591735839844,0.4939771592617035,74.3234634399414,56.29127502441406,93.23456573486328,56.34133529663086,0.13415882096160203,3,se3_log_map,0.6164568066596985,1.7849966287612915,-0.8679379224777222,-0.5631428360939026,293.9457092285156,160.03228759765625,9.249543190002441
-0.8888605833053589,-0.02133650705218315,1.943462610244751,245.28466796875,-39.5172119140625,162.43621826171875,0.4943329691886902,74.63385772705078,56.44274139404297,93.57347869873047,56.49302673339844,0.13391087501076981,3,se3_log_map,0.6175743341445923,1.786885380744934,-0.8669453263282776,-0.5638720989227295,294.0333251953125,160.21202087402344,9.837559700012207
-0.8876900672912598,-0.019712353125214577,1.9447534084320068,244.86656188964844,-40.105804443359375,162.6517791748047,0.4950396418571472,75.2340087890625,56.38807678222656,94.02005767822266,56.43871307373047,0.1333545109955594,3,se3_log_map,0.6159307956695557,1.7891607284545898,-0.8655106425285339,-0.5642061233520508,293.8802795410156,160.21218872070312,10.785422325134277
-0.8860419988632202,-0.01846334896981716,1.9454281330108643,244.46218872070312,-40.56915283203125,162.57090759277344,0.4952337145805359,76.07035827636719,56.23456954956055,94.59929656982422,56.286041259765625,0.1338843400008045,3,se3_log_map,0.6153941750526428,1.7908761501312256,-0.8635700941085815,-0.5640915632247925,293.57879638671875,159.93479919433594,11.553810119628906
-0.884408175945282,-0.01768910512328148,1.9457699060440063,244.18804931640625,-40.8902587890625,162.3447265625,0.49305254220962524,76.89578247070312,56.1020622253418,95.18614196777344,56.154541015625,0.13210400199750438,3,se3_log_map,0.6137799620628357,1.7920771837234497,-0.8617587685585022,-0.5636529922485352,293.3055725097656,159.54977416992188,12.059782028198242
-0.8833239078521729,-0.017450381070375443,1.9455357789993286,244.4510955810547,-40.86503601074219,161.88490295410156,0.4921847879886627,77.43242645263672,56.224082946777344,95.69184112548828,56.27764892578125,0.1338029769831337,3,se3_log_map,0.6148566007614136,1.79233717918396,-0.8605116009712219,-0.5632590651512146,293.3263244628906,159.1766357421875,11.798907279968262
-0.8827884793281555,-0.01729288324713707,1.9448351860046387,245.23048400878906,-40.61138153076172,161.4208984375,0.49479883909225464,77.6844711303711,56.69112014770508,96.17047119140625,56.74580001831055,0.13329661398893222,3,se3_log_map,0.6140458583831787,1.7919528484344482,-0.8596283197402954,-0.5633002519607544,293.726318359375,159.03053283691406,11.029382705688477
-0.8827736973762512,-0.017000779509544373,1.944148063659668,246.38214111328125,-40.262123107910156,161.0908203125,0.497982919216156,77.67886352539062,57.476356506347656,96.63093566894531,57.532066345214844,0.13373758998932317,3,se3_log_map,0.6163281202316284,1.7914624214172363,-0.8591668009757996,-0.5637990832328796,294.4757080078125,159.1719512939453,9.992044448852539
-0.882911741733551,-0.016526738181710243,1.9439102411270142,247.39271545410156,-40.063758850097656,161.0179901123047,0.49704840779304504,77.60786437988281,58.26356506347656,97.04444122314453,58.32002258300781,0.13453201798256487,3,se3_log_map,0.6185040473937988,1.791405200958252,-0.8589382767677307,-0.5644156336784363,295.252197265625,159.47335815429688,9.260394096374512
-0.8825148940086365,-0.016383931040763855,1.9433014392852783,248.22396850585938,-39.77886962890625,160.59783935546875,0.4949635863304138,77.79642486572266,58.80356979370117,97.51996612548828,58.861080169677734,0.13478001300245523,3,se3_log_map,0.6178150177001953,1.7910499572753906,-0.8582317233085632,-0.5645003318786621,295.7088928222656,159.40158081054688,8.436530113220215
-0.881493866443634,-0.016154278069734573,1.94292414188385,248.61032104492188,-39.65990447998047,160.08802795410156,0.49521681666374207,78.30248260498047,59.01397705078125,98.0506362915039,59.07267761230469,0.1348089780076407,3,se3_log_map,0.6208724975585938,1.7911529541015625,-0.8569890856742859,-0.5641853213310242,295.7870178222656,159.06320190429688,8.005288124084473
-0.8800951242446899,-0.015578933991491795,1.942965030670166,248.70718383789062,-39.71580505371094,159.6348419189453,0.49594953656196594,79.00704193115234,59.05494689941406,98.63873291015625,59.114891052246094,0.20492195303086191,3,se3_log_map,0.6173274517059326,1.7919096946716309,-0.8553785085678101,-0.5638112425804138,295.6761169433594,158.66806030273438,7.936615467071533
-0.878829300403595,-0.014567592181265354,1.943641185760498,248.5786895751953,-40.03026580810547,159.62356567382812,0.4970507025718689,79.66133880615234,59.07390594482422,99.17487335205078,59.13471603393555,0.13617368100676686,3,se3_log_map,0.6185062527656555,1.7933828830718994,-0.8539207577705383,-0.5637205243110657,295.6116638183594,158.56582641601562,8.4188232421875
-0.8777162432670593,-0.013087107799947262,1.9446558952331543,248.45974731445312,-40.458343505859375,159.84043884277344,0.4985850751399994,80.25716400146484,59.18730926513672,99.72135925292969,59.248863220214844,0.13517020404106006,3,se3_log_map,0.6184995174407959,1.7953113317489624,-0.8524907231330872,-0.5640590786933899,295.6642150878906,158.69505310058594,9.094344139099121
-0.8766197562217712,-0.01181215699762106,1.94521164894104,248.50201416015625,-40.725799560546875,159.89413452148438,0.49894192814826965,80.83929443359375,59.35062789916992,100.28703308105469,59.413055419921875,0.13547254900913686,3,se3_log_map,0.6185861825942993,1.7967281341552734,-0.8509949445724487,-0.5643698573112488,295.74188232421875,158.7651824951172,9.481084823608398
-0.8756088018417358,-0.010805756784975529,1.9453258514404297,248.74253845214844,-40.816978454589844,159.78402709960938,0.49880677461624146,81.36804962158203,59.586944580078125,100.85317993164062,59.650428771972656,0.13616537500638515,3,se3_log_map,0.6181062459945679,1.7975999116897583,-0.8495402336120605,-0.5646305084228516,295.8778991699219,158.78187561035156,9.532293319702148
-0.8748641014099121,-0.01011659950017929,1.9452458620071411,249.1837615966797,-40.75153350830078,159.56942749023438,0.49930721521377563,81.75460815429688,59.91727066040039,101.3602294921875,59.98180389404297,0.13473807298578322,3,se3_log_map,0.6171510219573975,1.7980693578720093,-0.8484278917312622,-0.564828097820282,296.11663818359375,158.78659057617188,9.24910831451416
-0.8740997910499573,-0.009631515480577946,1.9448323249816895,249.7013397216797,-40.575889587402344,159.2413787841797,0.49948829412460327,82.140380859375,60.25409698486328,101.87049102783203,60.31977844238281,0.13495771097950637,3,se3_log_map,0.6193130612373352,1.7981553077697754,-0.8472685217857361,-0.5649309158325195,296.3445129394531,158.73089599609375,8.789937973022461
-0.8737062811851501,-0.008869614452123642,1.9452037811279297,250.04574584960938,-40.64088439941406,159.404052734375,0.4992954432964325,82.36490631103516,60.611820220947266,102.26324462890625,60.6781005859375,0.1352507960400544,3,se3_log_map,0.6206217408180237,1.7989476919174194,-0.8466357588768005,-0.565273642539978,296.6917419433594,159.01678466796875,8.81571102142334
-0.8730154633522034,-0.008206251077353954,1.9456939697265625,250.27145385742188,-40.70164489746094,159.3809356689453,0.49906787276268005,82.73917388916016,60.83592987060547,102.69752502441406,60.9029655456543,0.1359021159587428,3,se3_log_map,0.620882511138916,1.7999037504196167,-0.8458263874053955,-0.5652925968170166,296.8685607910156,159.08544921875,8.813098907470703
